ASN,Time,GT,CC
13343,8:30-9:30,0,0
13367,8:30-9:30,0,0
13432,8:30-9:30,0,0
13489,8:30-9:30,0,0
13768,8:30-9:30,0,0
13999,8:30-9:30,0,0
14000,8:30-9:30,0,0
14080,8:30-9:30,0,0
14117,8:30-9:30,0,0
14259,8:30-9:30,0,0
14265,8:30-9:30,0,0
14390,8:30-9:30,0,0
14420,8:30-9:30,0,0
14522,8:30-9:30,0,0
14571,8:30-9:30,0,0
14638,8:30-9:30,0,0
14855,8:30-9:30,0,0
15146,8:30-9:30,0,0
15180,8:30-9:30,0,0
15227,8:30-9:30,0,0
15290,8:30-9:30,0,0
15311,8:30-9:30,0,0
15377,8:30-9:30,0,0
15418,8:30-9:30,0,0
15419,8:30-9:30,0,0
15435,8:30-9:30,0,0
15457,8:30-9:30,0,0
15467,8:30-9:30,0,0
15480,8:30-9:30,0,0
15500,8:30-9:30,0,0
15502,8:30-9:30,1,0
15525,8:30-9:30,1,0
15527,8:30-9:30,0,0
15557,8:30-9:30,0,0
15589,8:30-9:30,0,0
15640,8:30-9:30,0,0
15659,8:30-9:30,0,0
15706,8:30-9:30,0,0
15709,8:30-9:30,0,0
15732,8:30-9:30,1,0
15735,8:30-9:30,0,0
15774,8:30-9:30,0,0
15802,8:30-9:30,0,0
15857,8:30-9:30,0,0
15895,8:30-9:30,1,0
15897,8:30-9:30,0,0
15962,8:30-9:30,0,0
15982,8:30-9:30,0,0
16010,8:30-9:30,0,0
16086,8:30-9:30,0,0
16229,8:30-9:30,0,0
16232,8:30-9:30,0,0
16246,8:30-9:30,0,0
16265,8:30-9:30,1,0
16276,8:30-9:30,0,0
16322,8:30-9:30,0,0
16338,8:30-9:30,0,0
16586,8:30-9:30,0,0
16629,8:30-9:30,0,0
16718,8:30-9:30,0,0
16735,8:30-9:30,0,0
16810,8:30-9:30,0,0
16814,8:30-9:30,0,0
17184,8:30-9:30,0,0
17222,8:30-9:30,0,0
17379,8:30-9:30,1,1
17421,8:30-9:30,0,0
17430,8:30-9:30,0,0
17431,8:30-9:30,0,0
17444,8:30-9:30,0,0
17451,8:30-9:30,0,0
17488,8:30-9:30,0,0
