ASN,Time,GT,CC
12542,16:20-17:20,0,0
12552,16:20-17:20,0,0
12576,16:20-17:20,0,0
12578,16:20-17:20,1,0
12594,16:20-17:20,0,0
12615,16:20-17:20,0,0
12635,16:20-17:20,0,0
12670,16:20-17:20,0,0
12683,16:20-17:20,0,0
12705,16:20-17:20,0,0
12714,16:20-17:20,0,0
12715,16:20-17:20,0,0
12741,16:20-17:20,0,0
12874,16:20-17:20,0,0
12876,16:20-17:20,0,0
12880,16:20-17:20,0,0
12926,16:20-17:20,0,0
12946,16:20-17:20,0,0
12958,16:20-17:20,0,0
12970,16:20-17:20,0,0
12978,16:20-17:20,0,0
13036,16:20-17:20,0,0
13124,16:20-17:20,0,0
13143,16:20-17:20,0,0
13156,16:20-17:20,0,0
13184,16:20-17:20,0,0
13280,16:20-17:20,0,0
13285,16:20-17:20,0,0
13343,16:20-17:20,0,0
13367,16:20-17:20,0,0
13489,16:20-17:20,0,0
14359,16:20-17:20,0,0
14420,16:20-17:20,0,0
14492,16:20-17:20,0,0
14571,16:20-17:20,0,0
14855,16:20-17:20,0,0
15290,16:20-17:20,0,0
15419,16:20-17:20,0,0
15435,16:20-17:20,0,0
15467,16:20-17:20,0,0
15500,16:20-17:20,0,0
15557,16:20-17:20,0,0
15589,16:20-17:20,0,0
15640,16:20-17:20,0,0
15659,16:20-17:20,0,0
15732,16:20-17:20,0,0
15857,16:20-17:20,0,0
15895,16:20-17:20,0,0
16086,16:20-17:20,0,0
16097,16:20-17:20,0,0
16232,16:20-17:20,0,0
16265,16:20-17:20,0,0
16322,16:20-17:20,0,0
16333,16:20-17:20,0,0
16338,16:20-17:20,0,0
16735,16:20-17:20,0,0
16814,16:20-17:20,0,0
17184,16:20-17:20,0,0
17379,16:20-17:20,0,0
17421,16:20-17:20,0,0
17430,16:20-17:20,1,0
17488,16:20-17:20,0,0
17506,16:20-17:20,0,0
17511,16:20-17:20,0,0
17557,16:20-17:20,0,0
17598,16:20-17:20,0,0
17621,16:20-17:20,0,0
17622,16:20-17:20,0,0
17623,16:20-17:20,0,0
17633,16:20-17:20,0,0
17638,16:20-17:20,0,0
17672,16:20-17:20,0,0
17676,16:20-17:20,0,0
17712,16:20-17:20,0,0
17746,16:20-17:20,0,0
17785,16:20-17:20,0,0
17799,16:20-17:20,0,0
17809,16:20-17:20,0,0
17813,16:20-17:20,0,0
17816,16:20-17:20,0,0
17820,16:20-17:20,0,0
17858,16:20-17:20,0,0
17877,16:20-17:20,0,0
17883,16:20-17:20,0,0
17896,16:20-17:20,0,0
17897,16:20-17:20,0,0
17908,16:20-17:20,0,0
17923,16:20-17:20,0,0
17962,16:20-17:20,0,0
17964,16:20-17:20,0,0
17974,16:20-17:20,0,0
18047,16:20-17:20,0,0
18126,16:20-17:20,0,0
18231,16:20-17:20,0,0
18566,16:20-17:20,0,0
18747,16:20-17:20,0,0
18809,16:20-17:20,0,0
18812,16:20-17:20,0,0
18881,16:20-17:20,0,0
19090,16:20-17:20,0,0
19108,16:20-17:20,0,0
19182,16:20-17:20,0,0
19262,16:20-17:20,0,0
19429,16:20-17:20,0,0
19817,16:20-17:20,0,0
